ode,description,abbreviated_description,description_en,abbreviated_description_en,description_pt_br,abbreviated_description_pt_br
L28,Lichen simplex chronicus and prurigo,Lichen simplex chronicus and prurigo,Lichen simplex chronicus and prurigo,Lichen simplex chronicus and prurigo,Líquen simples crônico e prurigo,L28   Liquen simples cronico e prurigo
L280,Lichen simplex chronicus,Lichen simplex chronicus,Lichen simplex chronicus,Lichen simplex chronicus,Líquen simples crônico,L28.0 Liquen simples cronico
L281,Prurigo nodularis,Prurigo nodularis,Prurigo nodularis,Prurigo nodularis,Prurigo nodular,L28.1 Prurigo nodular
L282,Other prurigo,Other prurigo,Other prurigo,Other prurigo,Outras formas de prurigo,L28.2 Outr form de prurigo
L29,Pruritus,Pruritus,Pruritus,Pruritus,Prurido,L29   Prurido
L290,Pruritus ani,Pruritus ani,Pruritus ani,Pruritus ani,Prurido anal,L29.0 Prurido anal
L291,Pruritus scroti,Pruritus scroti,Pruritus scroti,Pruritus scroti,Prurido escrotal,L29.1 Prurido escrotal
L292,Pruritus vulvae,Pruritus vulvae,Pruritus vulvae,Pruritus vulvae,Prurido vulvar,L29.2 Prurido vulvar
L293,"Anogenital pruritus, unspecified","Anogenital pruritus, unspecified","Anogenital pruritus, unspecified","Anogenital pruritus, unspecified","Prurido anogenital, não especificado",L29.3 Prurido anogenital NE
L298,Other pruritus,Other pruritus,Other pruritus,Other pruritus,Outras formas de prurido,L29.8 Outr form de prurido
L299,"Pruritus, unspecified","Pruritus, unspecified","Pruritus, unspecified","Pruritus, unspecified",Prurido não especificado,L29.9 Prurido NE
L30,Other dermatitis,Other dermatitis,Other dermatitis,Other dermatitis,Outras dermatites,L30   Outr dermatites
L300,Nummular dermatitis,Nummular dermatitis,Nummular dermatitis,Nummular dermatitis,Dermatite numular,L30.0 Dermatite numular
L301,Dyshidrosis [pompholyx],Dyshidrosis [pompholyx],Dyshidrosis [pompholyx],Dyshidrosis [pompholyx],Disidrose [pompholyx],L30.1 Disidrose
L302,Cutaneous autosensitization,Cutaneous autosensitization,Cutaneous autosensitization,Cutaneous autosensitization,Autossensibilização cutânea,L30.2 Autossensibilizacao cutanea
L303,Infective dermatitis,Infective dermatitis,Infective dermatitis,Infective dermatitis,Dermatite infectada,L30.3 Dermatite infectada
L304,Erythema intertrigo,Erythema intertrigo,Erythema intertrigo,Erythema intertrigo,Intertrigo eritematoso,L30.4 Intertrigo eritematoso
L305,Pityriasis alba,Pityriasis alba,Pityriasis alba,Pityriasis alba,Pitiríase alba,L30.5 Pitiriase alba
L308,Other specified dermatitis,Other specified dermatitis,Other specified dermatitis,Other specified dermatitis,Outras dermatites especificadas,L30.8 Outr dermatites espec
L309,"Dermatitis, unspecified","Dermatitis, unspecified","Dermatitis, unspecified","Dermatitis, unspecified",Dermatite não especificada,L30.9 Dermatite NE
L40,Psoriasis,Psoriasis,Psoriasis,Psoriasis,Psoríase,L40   Psoriase
L400,Psoriasis vulgaris,Psoriasis vulgaris,Psoriasis vulgaris,Psoriasis vulgaris,Psoríase vulgar,L40.0 Psoriase vulgar
L401,Generalized pustular psoriasis,Generalized pustular psoriasis,Generalized pustular psoriasis,Generalized pustular psoriasis,Psoríase pustulosa generalizada,L40.1 Psoriase pustulosa generalizada
L402,Acrodermatitis continua,Acrodermatitis continua,Acrodermatitis continua,Acrodermatitis continua,Acrodermatite contínua,L40.2 Acrodermatite continua
L403,Pustulosis palmaris et plantaris,Pustulosis palmaris et plantaris,Pustulosis palmaris et plantaris,Pustulosis palmaris et plantaris,Pustulose palmar e plantar,L40.3 Pustulose palmar e plantar
L404,Guttate psoriasis,Guttate psoriasis,Guttate psoriasis,Guttate psoriasis,Psoríase gutata,L40.4 Psoriase gutata
L405,Arthropathic psoriasis,Arthropathic psoriasis,Arthropathic psoriasis,Arthropathic psoriasis,Artropatia psoriásica,L40.5 Artropatia psoriasica
L408,Other psoriasis,Other psoriasis,Other psoriasis,Other psoriasis,Outras formas de psoríase,L40.8 Outr form de psoriase
L409,"Psoriasis, unspecified","Psoriasis, unspecified","Psoriasis, unspecified","Psoriasis, unspecified",Psoríase não especificada,L40.9 Psoriase NE
L41,Parapsoriasis,Parapsoriasis,Parapsoriasis,Parapsoriasis,Parapsoríase,L41   Parapsoriase
L410,Pityriasis lichenoides et varioliformis acuta,Pityriasis lichenoides et varioliformis acuta,Pityriasis lichenoides et varioliformis acuta,Pityriasis lichenoides et varioliformis acuta,Pitiríase liquenóide e varioliforme aguda,L41.0 Pitiriase liquenoide e varioliforme aguda
L411,Pityriasis lichenoides chronica,Pityriasis lichenoides chronica,Pityriasis lichenoides chronica,Pityriasis lichenoides chronica,Pitiríase liquenóide crônica,L41.1 Pitiriase liquenoide cronica
L412,Lymphomatoid papulosis,Lymphomatoid papulosis,Lymphomatoid papulosis,Lymphomatoid papulosis,Papulose linfomatóide,L41.2 Papulose linfomatoide
L413,Small plaque parapsoriasis,Small plaque parapsoriasis,Small plaque parapsoriasis,Small plaque parapsoriasis,Parapsoríase de pequenas placas,L41.3 Parapsoriase de pequenas placas
L414,Large plaque parapsoriasis,Large plaque parapsoriasis,Large plaque parapsoriasis,Large plaque parapsoriasis,Parapsoríase de grandes placas,L41.4 Parapsoriase de grandes placas
L415,Retiform parapsoriasis,Retiform parapsoriasis,Retiform parapsoriasis,Retiform parapsoriasis,Parapsoríase retiforme,L41.5 Parapsoriase retiforme
L418,Other parapsoriasis,Other parapsoriasis,Other parapsoriasis,Other parapsoriasis,Outras parapsoríases,L41.8 Outr parapsoriases
L419,"Parapsoriasis, unspecified","Parapsoriasis, unspecified","Parapsoriasis, unspecified","Parapsoriasis, unspecified","Parapsoríase, não especificada",L41.9 Parapsoriase NE
L42,Pityriasis rosea,Pityriasis rosea,Pityriasis rosea,Pityriasis rosea,Pitiríase rósea,L42   Pitiriase rosea
L43,Lichen planus,Lichen planus,Lichen planus,Lichen planus,Líquen plano,L43   Liquen plano
L430,Hypertrophic lichen planus,Hypertrophic lichen planus,Hypertrophic lichen planus,Hypertrophic lichen planus,Líquen plano hipertrófico,L43.0 Liquen plano hipertrofico
L431,Bullous lichen planus,Bullous lichen planus,Bullous lichen planus,Bullous lichen planus,Líquen plano bolhoso,L43.1 Liquen plano bolhoso
L432,Lichenoid drug reaction,Lichenoid drug reaction,Lichenoid drug reaction,Lichenoid drug reaction,Reação liquenóide a droga,L43.2 Reacao liquenoide a droga
L433,Subacute (active) lichen planus,Subacute (active) lichen planus,Subacute (active) lichen planus,Subacute (active) lichen planus,Líquen plano subagudo (ativo),L43.3 Liquen plano subagudo
L438,Other lichen planus,Other lichen planus,Other lichen planus,Other lichen planus,Outras formas de líquen plano,L43.8 Outr form de liquen plano
L439,"Lichen planus, unspecified","Lichen planus, unspecified","Lichen planus, unspecified","Lichen planus, unspecified","Líquen plano, não especificado",L43.9 Liquen plano NE
L44,Other papulosquamous disorders,Other papulosquamous disorders,Other papulosquamous disorders,Other papulosquamous disorders,Outras afecções pápulo-descamativas,L44   Outr afeccoes papulo-descamativas
L440,Pityriasis rubra pilaris,Pityriasis rubra pilaris,Pityriasis rubra pilaris,Pityriasis rubra pilaris,Pitiríase rubra pilar,L44.0 Pitiriase rubra pilar
L441,Lichen nitidus,Lichen nitidus,Lichen nitidus,Lichen nitidus,Líquen nítido,L44.1 Liquen nitido
L442,Lichen striatus,Lichen striatus,Lichen striatus,Lichen striatus,Líquen estriado,L44.2 Liquen estriado
L443,Lichen ruber moniliformis,Lichen ruber moniliformis,Lichen ruber moniliformis,Lichen ruber moniliformis,Líquen rubro moniliforme,L44.3 Liquen rubro moniliforme
L444,Infantile papular acrodermatitis [Giannotti-Crosti],Infantile papular acrodermatitis [Giannotti-Crosti],Infantile papular acrodermatitis [Giannotti-Crosti],Infantile papular acrodermatitis [Giannotti-Crosti],Acrodermatite papular infantil [Síndrome de Gianotti-Crosti],L44.4 Acrodermatite papular infantil
L448,Other specified papulosquamous disorders,Other specified papulosquamous disorders,Other specified papulosquamous disorders,Other specified papulosquamous disorders,Outras afecções pápulo-descamativas especificadas,L44.8 Outr afeccoes papulo-descamativas espec
L449,"Papulosquamous disorder, unspecified","Papulosquamous disorder, unspecified","Papulosquamous disorder, unspecified","Papulosquamous disorder, unspecified","Afecções pápulo-descamativas, não especificadas",L44.9 Afeccoes papulo-descamativas NE
L45,Papulosquamous disorders in diseases classified elsewhere,Papulosquamous disorders in diseases classified elsewhere,Papulosquamous disorders in diseases classified elsewhere,Papulosquamous disorders in diseases classified elsewhere,Afecções pápulo-descamativas em doenças classificadas em outra parte,L45   Afeccoes papulo-descamativas em doenc COP
L50,Urticaria,Urticaria,Urticaria,Urticaria,Urticária,L50   Urticaria
L500,Allergic urticaria,Allergic urticaria,Allergic urticaria,Allergic urticaria,Urticária alérgica,L50.0 Urticaria alergica
L501,Idiopathic urticaria,Idiopathic urticaria,Idiopathic urticaria,Idiopathic urticaria,Urticária idiopática,L50.1 Urticaria idiopatica
L502,Urticaria due to cold and heat,Urticaria due to cold and heat,Urticaria due to cold and heat,Urticaria due to cold and heat,Urticária devida a frio e a calor,L50.2 Urticaria dev frio e a calor
L503,Dermatographic urticaria,Dermatographic urticaria,Dermatographic urticaria,Dermatographic urticaria,Urticária dermatográfica,L50.3 Urticaria dermatografica
L504,Vibratory urticaria,Vibratory urticaria,Vibratory urticaria,Vibratory urticaria,Urticária vibratória,L50.4 Urticaria vibratoria
L505,Cholinergic urticaria,Cholinergic urticaria,Cholinergic urticaria,Cholinergic urticaria,Urticária colinérgica,L50.5 Urticaria colinergica
L506,Contact urticaria,Contact urticaria,Contact urticaria,Contact urticaria,Urticária de contato,L50.6 Urticaria de contato
L508,Other urticaria,Other urticaria,Other urticaria,Other urticaria,Outras urticárias,L50.8 Outr urticarias
L509,"Urticaria, unspecified","Urticaria, unspecified","Urticaria, unspecified","Urticaria, unspecified",Urticária não especificada,L50.9 Urticaria NE
L51,Erythema multiforme,Erythema multiforme,Erythema multiforme,Erythema multiforme,Eritema polimorfo (eritema multiforme),L51   Eritema polimorfo
L510,Nonbullous erythema multiforme,Nonbullous erythema multiforme,Nonbullous erythema multiforme,Nonbullous erythema multiforme,Eritema multiforme não bolhoso,L51.0 Eritema multiforme nao bolhoso
L511,Bullous erythema multiforme,Bullous erythema multiforme,Bullous erythema multiforme,Bullous erythema multiforme,Eritema multiforme bolhoso,L51.1 Eritema multiforme bolhoso
L512,Toxic epidermal necrolysis [Lyell],Toxic epidermal necrolysis [Lyell],Toxic epidermal necrolysis [Lyell],Toxic epidermal necrolysis [Lyell],Necrólise epidérmica tóxica [Síndrome de Lyell],L51.2 Necrolise epidermica toxica
L518,Other erythema multiforme,Other erythema multiforme,Other erythema multiforme,Other erythema multiforme,Outras formas de eritema multiforme,L51.8 Outr form de eritema multiforme
L519,"Erythema multiforme, unspecified","Erythema multiforme, unspecified","Erythema multiforme, unspecified","Erythema multiforme, unspecified","Eritema multiforme, não especificado",L51.9 Eritema multiforme NE
L52,Erythema nodosum,Erythema nodosum,Erythema nodosum,Erythema nodosum,Eritema nodoso,L52   Eritema nodoso
L53,Other erythematous conditions,Other erythematous conditions,Other erythematous conditions,Other erythematous conditions,Outras afecções eritematosas,L53   Outr afeccoes eritematosas
L530,Toxic erythema,Toxic erythema,Toxic erythema,Toxic erythema,Eritema tóxico,L53.0 Eritema toxico
L531,Erythema annulare centrifugum,Erythema annulare centrifugum,Erythema annulare centrifugum,Erythema annulare centrifugum,Eritema anular centrífugo,L53.1 Eritema anular centrifugo
L532,Erythema marginatum,Erythema marginatum,Erythema marginatum,Erythema marginatum,Eritema marginado,L53.2 Eritema marginado
L533,Other chronic figurate erythema,Other chronic figurate erythema,Other chronic figurate erythema,Other chronic figurate erythema,Outras formas de eritema figurado crônico,L53.3 Outr form de eritema figurado cronico
L538,Other specified erythematous conditions,Other specified erythematous conditions,Other specified erythematous conditions,Other specified erythematous conditions,Outras afecções eritematosas especificadas,L53.8 Outr afeccoes eritematosas espec
L539,"Erythematous condition, unspecified","Erythematous condition, unspecified","Erythematous condition, unspecified","Erythematous condition, unspecified","Afecções eritematosas, não especificadas",L53.9 Afeccoes eritematosas NE
L54,Erythema in diseases classified elsewhere,Erythema in diseases classified elsewhere,Erythema in diseases classified elsewhere,Erythema in diseases classified elsewhere,Eritema em doenças classificadas em outra parte,L54   Eritema em doenc COP
L540,Erythema marginatum in acute rheumatic fever,Erythema marginatum in acute rheumatic fever,Erythema marginatum in acute rheumatic fever,Erythema marginatum in acute rheumatic fever,Eritema marginado na febre reumática aguda,L54.0 Eritema marginado na febre reumatica aguda
